price,address,bathroom,bedroom,furnish,description,property type,ID,longitude,latitude
"€8,400 Per week","Sorrento Road, Dalkey, South Co. Dublin",5,5,Furnished,"
                        Rent is 1,200 per night for the minimum stay of 2 nights, and 1,000 for bookings over 5 nights.

Live amongst the stars with Bono, Van Morrison and The Edge in the celebrity enclave of Dalkey....

'Ischia', built and owned by Eddie Irvine, Ex Ferrari Formula 1 Driver is a unique, stunningly beautiful home located on Sorrento Road in Dalkey within a stone's throw of the sea and the beautiful Killiney Bay. You can take a stroll down to Dalkey village, which has an array of wonderful restaurants, cafes, pubs and bars........ the renowned Finnegan's bar is one of Bono's favourite pubs and he can be spotted there from time to time! 

Clare Connolly Estate Agent is delighted to bring the property to the market for SHORT TERM LETTING (MINUMUM STAY 2 NIGHTS). 

Designed by award winning architects in an elevated position, it extends  to over 5,000 sq.ft, and affords wonderful sea views.  It comes to the market fully furnished. 
At ground level, accommodation comprises steps up to entrance door which open onto a large dining area, with cloakroom to the left. Spectacular, fully integrated light-filled kitchen. The downstairs accommodation includes five generous sized double bedrooms, four of which are ensuite and one main bathroom. There is a Sauna and plunge pool. The games room opens onto the external pool area, which houses a bar counter and snooker table. There is timber decking with extensive seating and barbecue area surrounding the flood lit heated swimming pool. The upstairs accommodation opens onto a wonderful living area with panoramic sea views. There is a self-contained office area off the living area. The property is fully alarmed. There is gas fired central heating, and ample parking.
The house is approached through high electric gates off a shared private driveway.The beaches of White Rock and Killiney, a number of  parks, wonderful restaurants, cafes and bars are all in close proximity.  Dalkey is serviced by excellent transport links, including the DART, and M50 which is a short drive away. There are also several bus services to the City Centre, and the Aircoach which travels directly to Dublin Airport.
Rent includes TV and internet broadband, gas and electricity and water and waste charges.
There is a 270 end of stay cleaning fee.


https://youtu.be/sTRvYsuOmTQ
                    ",House,21612293,-6.096875,53.274311
"€15,000 Per month","Ailesbury Road, Ballsbridge, Dublin 4, South Dublin City",6,6,Furnished,"
                        Knight Frank are pleased to present this magnificent recently refurbished red brick Victorian residence of approximately 5,349 sq.ft (497 sq.mtrs) situated on one of Dublin 4 's finest residential roads, the attention to detail in this refurbishment and fit out is second to none, with a sunny south facing garden with the Dublin mountains in view to the rear.

This magnificent residence has wonderful graciously proportioned accommodation and provides the perfect combination of formal entertaining and comfortable living. Upon entering one is immediately impressed with the sense of grandeur and old world charm this property boasts with abundance. The beautifully limestone entrance hall has both a minibar/cloaks room and a separate guest w.c.

To the right of the hallway are two impressive interconnecting reception rooms with original sliding doors overlooking leafy Ailesbury Road, and a third formal reception room overlooks the manicured garden and patio area. These three fine reception rooms host an abundance of period features and Victorian mantle pieces adorn each room.

On the upper floors, there are four bedrooms, three of which are en-suite. The master bedroom features a luxurious walk-in dressing room leading to a sunlit bathroom suite complete with extra large shower, freestanding bath and his and her twin hand-basins all of the highest quality.

On the garden level there is a fantastic state of the art bespoke hand painted kitchen/breakfast/living room complete with contemporary enclosed log flamed gas fire. The superb floor to ceiling glass doors all fully open leading to a beautiful large patio area which is ideal for al fresco dining with steps continuing to a beautifully raised manicured lawn complete with box shrubs and trees. To the right of the kitchen there is a room, again with enclosed log flamed gas fire and floor to ceilings glass doors leading to the garden.

This spacious garden level also comprises two further bedrooms complete with en-suites, suitable as gym/fitness if preferred. There is a wine cellar, separate laundry room, guest w.c. storage space and boiler room leading to the side entrance.

The front of the property is approached through automatic cast iron gates and can provide secure parking for at least 5/6 cars. The front garden which is again bordered by manicured box plants and shrubs is predominantly laid out with pebbles on the driveway. There is also a separate electric pedestrian gate.

The appeal of this magnificent home is greatly added to by its excellent condition throughout and many period features including ornate ceiling cornices, centre roses, sash windows, original sliding doors and fireplaces in the reception rooms.

The location is prime Dublin 4 embassy belt within a short distance of Ballsbridge and Donnybrook villages, home to a vast array of choice shopping and boutique restaurants. This area is also home to the wonderful amenity of Herbert Park while the RDS and Aviva Stadium are both within walking distance. Many of Dublin's top schools are also within its catchment including St Michaels, St Conleths, C.U.S. Loreto on the Green, Muckross Park, UCD to name but a few. The Dart Line is approx. 4 mins walk while Bus services are approx. 1 min. walk. St. Vincent's Hospital is 5 mins walking distance.
Accommodation
Notice
All photographs are provided for guidance only.


Features
Floor Area 5 349 sq.ft. (497 sq.mtrs) , 6 Bedrooms 5 En-Suites , Ideally suited for Embassy/Ambassadors Residence , 3 Formal Reception Rooms , Bespoke Hand Painted Kitchen Fully Integrated , Parking , Fully Alarmed/CCTV , Garden
                    ",House,22045922,-6.217086,53.320058
"€15,000 Per month","5 Elgin Road, Ballsbridge, Ballsbridge, Dublin 4, South Dublin City",5,5,Unfurnished,"
                        REA Halnon McKenna are delighted to offer this recently refurbished Victorian residence situated on one of Dublin 4 's finest residential roads. The attention to detail in this refurbishment and fit out is second to none.

The appeal of this magnificent home is greatly added to by its excellent condition throughout and many period features including ornate ceiling cornices, centre roses, sash windows, original sliding doors and fireplaces in the reception rooms.

The location is prime Dublin 4 embassy belt within a short distance of Ballsbridge and Donnybrook villages, home to a vast array of choice shopping and boutique restaurants. This area is also home to the wonderful amenity of Herbert Park while the RDS and Aviva Stadium are both within walking distance. Many of Dublin's top schools are also within its catchment including St Michaels, St Conleths, C.U.S. Loreto on the Green, Muckross Park, UCD to name but a few. The Dart Line is approx. 4 mins walk while Bus services are approx. 1 min. walk. St. Vincent's Hospital is 5 mins walking distance.


Disclaimer: Whilst every care has been taken in the preparation of these particulars, and they are believed to be correct, they are not warranted and intending lessees should satisfy themselves as to the correctness of information given.
                    ",House,22048233,-6.236891,53.330032
"€10,000 Per month","Elgin Road, Ballsbridge, Ballsbridge, Dublin 4, South Dublin City",5,4,Unfurnished,"
                        Professionally Managed. REFURBISHED to the very highest standards. Unique opportunity to occupy this exclusive Period Residence opposite the USA Embassy. Ideally located adjacent to Herbert Park and amenities of Ballsbridge. 25min walk to St Stephens Green. 15mins walk to Grand Canal. Nearby AIB BANK CENTRE and AVIVA STADIUM. 5 mins to DART SANDYMOUNT. 

Accommodation includes a self-contained one bedroom STUDIO (ideal for Staff or Visitors). Entrance Hall leading to 2 x Reception Rooms (suitable for entertaining). Guest WC. Garden Level: Spacious Kitchen/Dining room, Living room and Sun room. Plant room, Utility room and Bathroom. Upstairs: 4 x Double bedrooms (2 x Ensuite) plus Main bathroom. Off street car parking 2-3 cars. Electric gates. Side entrance to rear. Available for occupancy 1st September 2020.

Disclaimer: Whilst every care has been taken in the preparation of these particulars, and they are believed to be correct, they are not warranted and intending lessees should satisfy themselves as to the correctness of information given.
                    ",House,22043562,-6.233272,53.329613
"€9,400 Per month","3 Tempe Terrace, Rockfort Avenue, Dalkey, South Co. Dublin",5,3,Unfurnished,"
                        AVAILABLE JANUARY 2021

3 Tempe Terrace is an attractive double fronted period home, enjoying a unique and convenient setting on the edge of Dalkey, so close to the many amenities this charming village has to offer.

On the ground floor is a large and elegant entrance hall with two wonderful reception rooms either side, there is a wonderful spacious kitchen and a dramatic dining room with original granite floor, which enjoys the full benefit of the sunny south facing orientation.

At first floor level there are three spacious double rooms, the master of which has a  fully tiled ensuite bathroom, The bathroom with free standing cast iron bath with claw feet completes the accommodation at this level.

A secret door leads up to the attic area which is fully floored with four sky lights and stunning sea views are enjoyed from here. This room could be used an office or fifth bedroom.

Completing the accommodation is the basement which houses a large utility room, au-pairs bedroom, and wine-cellar and shower cubicle. There is a separate entrance to the basement from the front of the house.

The rear garden is South West facing and is a real feature of the property and has the benefit of a garage
which is accessed via a lane to the side of the property.

(Overall C 3,800 Sq Ft.)
                    ",House,22059358,-6.100353,53.276994
"€8,950 Per month","Tivoli Terrace, Dun Laoghaire, South Co. Dublin",6,4,Furnished,"
                        Georgian Residence & Gardens: Dublin
Being within easy reach of Dublin 4, and Dublin city, this prestigious Five Star rental will appeal to senior executives and diplomats seeking elegant living in one of Dublin's best locations.

The stunning sea views, sunny private south-facing rear gardens and secure off-street parking only make this remarkable property more appealing.

Nestled in the highly desirable coastal enclave of Tivoli Terrace our lavish Georgian two stories over garden level period residence retains all the splendour and charm synonymous with a bygone era.

Where to start? And so much to offer; The property is within strolling distance of Dun Laoighre promenade and all local amenities with easy access via public transport to Dublin city.


Enjoy gracious living in a magnificent Georgian period residence which has been carefully maintained throughout and consistently upgraded over the years - nothing was left unturned.
                    ",House,21920497,-6.139981,53.289568
"€8,500 Per month","Alexander Court, Fenian Street, Dublin 2, Dublin City Centre",4,4,Furnished,"
                        One of the largest luxury penthouse apartments in Dublin with nearly 6,000sq feet of accommodation in one of the most central locations in Dublin City. Apartment is highly secure with special lift key access to the penthouse level No apartment in Dublin compares in terms of size and quality of finish. Alexander Court is located next to Merrion Square and only a 7 minute walk to Grafton Street. This property offers an incredible floor area, with accommodation to include: Four very large double bedrooms, each with very large ensuite, and separate dressing rooms. A home office (can be converted to a 5th bedroom as it is very large in itself) A Vast drawing room, with feature fireplace and polished timber flooring. A separate kitchen that is bespoke and hand crafted kitchen finished with granite tops A large dining room with the dining table an exact replica from that of the Titanic ship, with seating for up to 10. And finally, a second large lounge at rooftop level, with 360 degree views of Dublin, with external roof terrace. A new 2000 sq. ft. gym will be opening soon and access to the gym is included. The gym will be located 300 metres from the development. This apartment must be seen to be believed.
                    ",Apartment,21916321,-6.246952,53.341271
"€8,500 Per month","South Circular Road, Dublin 8, South Dublin City",9,5,Furnished or unfurnished,"
                        Howley Souhan Estate Agents offer an excellent opportunity to rent this substantial nine-bedroom property which has been refurbished to a high standard. 

This is the ultimate city pad with well-defined and spacious living accommodation.

Mixed-use options, office space, work from home suites. 

Close proximity to city centre, St. James's, The Coombe & Crumlin Children's Hospitals and Griffith College
Close proximity to the LUAS Red line

Property Summary:
Perfect period residence in Dublin 8 close to all City Centre services and amenities
Architecturally designed for modern living
Pristine turn-key condition
Ultimate city living
Electronic fob access

Viewing highly recommended.
                    ",House,22057032,-6.286758,53.332395
"€8,000 Per month","Malakoff Villa, Rathgar Road, Rathmines, Dublin 6, South Dublin City",5,4,Furnished,,House,22043386,-6.267877,53.320257
"€8,000 Per month","Belmont Ave, Donnybrook, Dublin 4, South Dublin City",4,4,Unfurnished,"
                        Situated in a private enclave on one of Dublin's finest residential roads, Belmont Avenue, three superb 4 bedroom plus home office, 4 bathroom detached residences are currently under construction and will be available to let mid-summer. The properties are being interior designed to an exquisite standard and will be presented to the market unfurnished. The wonderfully proportioned accommodation provides the perfect combination of formal entertaining and comfortable  living as well as offering stunning views over Dublin's Iconic skyline. These homes will boast an A rating for energy efficiency.

Immediate amenities on your doorstep include transport links such as the LUAS and the Quality Bus Corridor, all of the shopping, cafes, restaurants and bars that both Donnybrook and Ranelagh have to offer whilst also situated just a short distance from both the city centre and the M50 (thus providing easy access to the airport). 

Being conveniently located close to some of Dublin's best schools, namely St Michael's College, St Andrews College, Nord Anglia, Gonzaga, St. Conleth's,Muckross Park, Loreto on the Green, Blackrock, Alexandra College and UCD will suit  parents with school going children.

The location is prime Dublin 4 embassy belt whilst also enjoying the advantage of having 34 acres of green open space in Herbert Park less than a ten minute walk away. Sporting grounds such as the RDS and Aviva Stadium are both also within easy walking distance. 

Please register your interest with us and we will keep you up to date with more information as it becomes available.



House Type 1 - Approximate Measurements
Ground Floor Plan = 1178.43ft² (109.48m²)
First Floor Plan = 688.35ft² (63.95m²)
Second Floor Plan = 558.43ft² (51.88m²)
Total Approx. = 2425.21ft² (225.21m²)



House Type 2&3 - Approximate Measurements
Ground Floor Plan = 1266.48ft² (117.66m²)
First Floor Plan = 785.11ft² (72.94m²)
Second Floor Plan = 522.48ft² (48.54m²)
Total Approx. = 2574.07ft² (239.14m²)
                    ",House,22004847,-6.242893,53.320027
